ville,pays,latitude,longitude,timestamp_utc,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
Antananarivo,MG,-18.8792,47.5079,2026-04-25T20:00:00+00:00,1,94.76,0.0,0.71,25.12,0.1,1.99,4.15,0.34
Antananarivo,MG,-18.8792,47.5079,2026-04-25T21:00:00+00:00,1,92.69,0.0,0.66,24.45,0.08,1.89,3.93,0.29
Antananarivo,MG,-18.8792,47.5079,2026-04-25T22:00:00+00:00,1,92.28,0.0,0.66,22.49,0.06,1.87,3.85,0.29
Antananarivo,MG,-18.8792,47.5079,2026-04-25T23:00:00+00:00,1,94.54,0.0,0.71,19.57,0.06,1.99,3.98,0.37
Antananarivo,MG,-18.8792,47.5079,2026-04-26T00:00:00+00:00,1,96.19,0.0,0.75,17.51,0.06,2.09,4.02,0.49
Antananarivo,MG,-18.8792,47.5079,2026-04-26T01:00:00+00:00,1,97.38,0.0,0.78,16.05,0.07,2.17,3.98,0.64
Antananarivo,MG,-18.8792,47.5079,2026-04-26T02:00:00+00:00,1,98.66,0.0,0.8,15.08,0.07,2.23,4.02,0.67
Antananarivo,MG,-18.8792,47.5079,2026-04-26T03:00:00+00:00,1,100.63,0.01,0.84,14.75,0.07,2.32,4.17,0.66
Antananarivo,MG,-18.8792,47.5079,2026-04-26T04:00:00+00:00,1,105.09,0.05,0.86,15.21,0.1,2.46,4.74,0.61
Antananarivo,MG,-18.8792,47.5079,2026-04-26T05:00:00+00:00,1,110.09,0.24,0.64,17.09,0.13,2.64,5.49,0.62
Antananarivo,MG,-18.8792,47.5079,2026-04-26T06:00:00+00:00,1,112.32,0.22,0.49,22.49,0.14,3.0,6.08,0.76
Antananarivo,MG,-18.8792,47.5079,2026-04-26T07:00:00+00:00,1,66.98,0.03,0.11,46.27,0.11,0.6,1.55,0.27
Antananarivo,MG,-18.8792,47.5079,2026-04-26T08:00:00+00:00,1,62.14,0.02,0.07,47.18,0.1,0.51,1.22,0.24
Antananarivo,MG,-18.8792,47.5079,2026-04-26T09:00:00+00:00,1,61.16,0.02,0.06,45.55,0.1,0.55,1.26,0.24
Antananarivo,MG,-18.8792,47.5079,2026-04-26T10:00:00+00:00,1,61.43,0.02,0.07,44.97,0.11,0.65,1.31,0.27
Antananarivo,MG,-18.8792,47.5079,2026-04-26T11:00:00+00:00,1,62.03,0.02,0.08,44.14,0.11,0.78,1.45,0.33
Antananarivo,MG,-18.8792,47.5079,2026-04-26T12:00:00+00:00,1,62.86,0.03,0.1,43.89,0.12,0.87,1.58,0.41
Antananarivo,MG,-18.8792,47.5079,2026-04-26T13:00:00+00:00,1,67.81,0.05,0.19,41.59,0.14,1.07,2.0,0.64
Antananarivo,MG,-18.8792,47.5079,2026-04-26T14:00:00+00:00,1,76.2,0.05,0.41,37.69,0.16,1.36,2.67,0.92
Antananarivo,MG,-18.8792,47.5079,2026-04-26T15:00:00+00:00,1,85.01,0.01,0.73,34.26,0.18,1.67,3.34,1.11
Antananarivo,MG,-18.8792,47.5079,2026-04-26T16:00:00+00:00,1,94.56,0.0,0.96,30.59,0.2,2.05,4.23,1.29
Antananarivo,MG,-18.8792,47.5079,2026-04-26T17:00:00+00:00,1,106.38,0.0,1.15,27.4,0.23,2.56,5.4,1.47
Antananarivo,MG,-18.8792,47.5079,2026-04-26T18:00:00+00:00,1,116.78,0.0,1.28,24.7,0.23,3.06,6.45,1.52
Antananarivo,MG,-18.8792,47.5079,2026-04-26T19:00:00+00:00,1,123.66,0.0,1.34,21.37,0.21,3.43,7.2,1.14
Antananarivo,MG,-18.8792,47.5079,2026-04-26T20:00:00+00:00,1,128.14,0.0,1.37,18.74,0.18,3.65,7.58,0.91
Antananarivo,MG,-18.8792,47.5079,2026-04-26T21:00:00+00:00,1,126.28,0.0,1.33,16.9,0.14,3.56,7.16,0.8
Antananarivo,MG,-18.8792,47.5079,2026-04-26T22:00:00+00:00,1,124.18,0.0,1.27,15.46,0.12,3.45,6.71,0.79
Antananarivo,MG,-18.8792,47.5079,2026-04-26T23:00:00+00:00,1,122.9,0.0,1.2,14.52,0.1,3.35,6.41,0.68
Antananarivo,MG,-18.8792,47.5079,2026-04-27T00:00:00+00:00,1,120.3,0.0,1.12,14.37,0.09,3.15,6.0,0.57
Antananarivo,MG,-18.8792,47.5079,2026-04-27T01:00:00+00:00,1,117.42,0.0,1.03,14.65,0.08,2.95,5.61,0.5
Antananarivo,MG,-18.8792,47.5079,2026-04-27T02:00:00+00:00,1,116.11,0.0,0.99,14.34,0.08,2.86,5.39,0.45
Antananarivo,MG,-18.8792,47.5079,2026-04-27T03:00:00+00:00,1,116.48,0.01,0.98,14.2,0.08,2.85,5.44,0.42
Antananarivo,MG,-18.8792,47.5079,2026-04-27T04:00:00+00:00,1,121.29,0.06,0.99,14.38,0.12,2.98,6.16,0.46
Antananarivo,MG,-18.8792,47.5079,2026-04-27T05:00:00+00:00,1,127.39,0.29,0.72,16.61,0.17,3.2,6.99,0.66
Antananarivo,MG,-18.8792,47.5079,2026-04-27T06:00:00+00:00,1,128.34,0.24,0.55,22.6,0.2,3.51,7.43,0.96
Antananarivo,MG,-18.8792,47.5079,2026-04-27T07:00:00+00:00,1,75.97,0.05,0.15,43.28,0.19,1.05,2.18,0.43
Antananarivo,MG,-18.8792,47.5079,2026-04-27T08:00:00+00:00,1,68.7,0.03,0.1,47.77,0.15,0.93,1.72,0.36
Antananarivo,MG,-18.8792,47.5079,2026-04-27T09:00:00+00:00,1,66.38,0.03,0.08,47.94,0.14,0.97,1.69,0.34
Antananarivo,MG,-18.8792,47.5079,2026-04-27T10:00:00+00:00,1,63.71,0.02,0.07,49.82,0.12,0.92,1.49,0.28
Antananarivo,MG,-18.8792,47.5079,2026-04-27T11:00:00+00:00,1,62.16,0.02,0.07,50.68,0.11,0.91,1.41,0.25
Antananarivo,MG,-18.8792,47.5079,2026-04-27T12:00:00+00:00,1,61.69,0.02,0.08,50.03,0.1,0.93,1.41,0.25
Antananarivo,MG,-18.8792,47.5079,2026-04-27T13:00:00+00:00,1,68.04,0.04,0.21,44.07,0.12,1.17,1.99,0.47
Antananarivo,MG,-18.8792,47.5079,2026-04-27T14:00:00+00:00,1,79.68,0.06,0.49,36.87,0.16,1.64,3.04,0.78
Antananarivo,MG,-18.8792,47.5079,2026-04-27T15:00:00+00:00,1,91.93,0.01,0.88,31.8,0.19,2.15,4.15,1.02
Antananarivo,MG,-18.8792,47.5079,2026-04-27T16:00:00+00:00,1,106.83,0.0,1.22,27.09,0.24,2.86,5.79,1.3
Antananarivo,MG,-18.8792,47.5079,2026-04-27T17:00:00+00:00,1,125.84,0.0,1.52,23.41,0.31,3.79,7.93,1.69
Antananarivo,MG,-18.8792,47.5079,2026-04-27T18:00:00+00:00,1,142.76,0.0,1.76,21.02,0.38,4.69,9.7,2.03
Antananarivo,MG,-18.8792,47.5079,2026-04-27T19:00:00+00:00,1,155.61,0.0,1.94,19.09,0.43,5.43,10.76,2.28
Antananarivo,MG,-18.8792,47.5079,2026-04-27T20:00:00+00:00,1,164.16,0.0,2.03,17.1,0.37,5.94,11.19,1.96
Antananarivo,MG,-18.8792,47.5079,2026-04-27T21:00:00+00:00,1,163.36,0.0,1.98,15.25,0.26,6.02,10.63,1.34
Antananarivo,MG,-18.8792,47.5079,2026-04-27T22:00:00+00:00,1,158.01,0.0,1.82,13.57,0.16,5.84,9.68,0.75
Antananarivo,MG,-18.8792,47.5079,2026-04-27T23:00:00+00:00,1,153.23,0.0,1.67,12.6,0.11,5.63,8.93,0.52
Antananarivo,MG,-18.8792,47.5079,2026-04-28T00:00:00+00:00,1,147.6,0.0,1.53,12.3,0.09,5.34,8.24,0.4
Antananarivo,MG,-18.8792,47.5079,2026-04-28T01:00:00+00:00,1,140.58,0.0,1.39,12.38,0.08,5.01,7.57,0.35
Antananarivo,MG,-18.8792,47.5079,2026-04-28T02:00:00+00:00,1,135.54,0.01,1.27,12.12,0.07,4.75,7.06,0.33
Antananarivo,MG,-18.8792,47.5079,2026-04-28T03:00:00+00:00,1,130.42,0.01,1.17,12.52,0.07,4.47,6.67,0.34
Antananarivo,MG,-18.8792,47.5079,2026-04-28T04:00:00+00:00,1,126.29,0.06,1.05,13.9,0.11,4.13,6.66,0.45
Antananarivo,MG,-18.8792,47.5079,2026-04-28T05:00:00+00:00,1,129.06,0.28,0.74,15.52,0.15,4.22,7.37,0.68
Antananarivo,MG,-18.8792,47.5079,2026-04-28T06:00:00+00:00,1,128.31,0.24,0.54,21.02,0.19,4.52,7.93,0.91
Antananarivo,MG,-18.8792,47.5079,2026-04-28T07:00:00+00:00,1,78.76,0.05,0.13,36.49,0.13,1.95,3.16,0.4
Antananarivo,MG,-18.8792,47.5079,2026-04-28T08:00:00+00:00,1,71.78,0.03,0.08,39.41,0.11,1.67,2.65,0.35
Antananarivo,MG,-18.8792,47.5079,2026-04-28T09:00:00+00:00,1,69.98,0.02,0.07,40.0,0.11,1.69,2.64,0.35
Antananarivo,MG,-18.8792,47.5079,2026-04-28T10:00:00+00:00,1,70.79,0.03,0.08,40.75,0.12,1.81,2.78,0.37
Antananarivo,MG,-18.8792,47.5079,2026-04-28T11:00:00+00:00,1,71.88,0.03,0.11,41.11,0.13,1.98,3.0,0.42
Antananarivo,MG,-18.8792,47.5079,2026-04-28T12:00:00+00:00,1,73.03,0.03,0.13,41.06,0.14,2.11,3.19,0.48
Antananarivo,MG,-18.8792,47.5079,2026-04-28T13:00:00+00:00,1,79.64,0.05,0.27,37.75,0.16,2.48,3.89,0.69
Antananarivo,MG,-18.8792,47.5079,2026-04-28T14:00:00+00:00,1,90.67,0.06,0.55,32.92,0.19,3.05,4.99,0.93
Antananarivo,MG,-18.8792,47.5079,2026-04-28T15:00:00+00:00,1,101.71,0.01,0.92,29.17,0.21,3.6,6.04,1.11
Antananarivo,MG,-18.8792,47.5079,2026-04-28T16:00:00+00:00,1,115.88,0.0,1.25,25.24,0.25,4.28,7.57,1.39
Antananarivo,MG,-18.8792,47.5079,2026-04-28T17:00:00+00:00,1,135.37,0.0,1.57,22.07,0.32,5.23,9.77,1.88
Antananarivo,MG,-18.8792,47.5079,2026-04-28T18:00:00+00:00,1,152.85,0.0,1.83,20.06,0.38,6.18,11.8,2.33
Antananarivo,MG,-18.8792,47.5079,2026-04-28T19:00:00+00:00,1,166.58,0.0,2.05,18.65,0.43,6.98,13.44,2.6
Antananarivo,MG,-18.8792,47.5079,2026-04-28T20:00:00+00:00,1,174.69,0.0,2.17,17.48,0.4,7.49,14.28,2.46
Antananarivo,MG,-18.8792,47.5079,2026-04-28T21:00:00+00:00,1,172.54,0.0,2.13,16.69,0.32,7.48,13.7,2.06
Antananarivo,MG,-18.8792,47.5079,2026-04-28T22:00:00+00:00,1,164.61,0.0,1.94,16.12,0.24,7.12,12.33,1.69
Antananarivo,MG,-18.8792,47.5079,2026-04-28T23:00:00+00:00,1,157.73,0.0,1.76,15.26,0.19,6.79,11.35,1.35
Antananarivo,MG,-18.8792,47.5079,2026-04-29T00:00:00+00:00,1,151.06,0.0,1.6,14.49,0.14,6.41,10.46,0.9
Antananarivo,MG,-18.8792,47.5079,2026-04-29T01:00:00+00:00,1,143.73,0.0,1.43,13.83,0.1,6.03,9.59,0.49
Antananarivo,MG,-18.8792,47.5079,2026-04-29T02:00:00+00:00,1,139.51,0.0,1.33,13.39,0.08,5.77,8.94,0.41
Antananarivo,MG,-18.8792,47.5079,2026-04-29T03:00:00+00:00,1,136.34,0.01,1.26,13.54,0.09,5.55,8.49,0.46
Antananarivo,MG,-18.8792,47.5079,2026-04-29T04:00:00+00:00,1,132.33,0.06,1.13,14.41,0.13,5.1,8.24,0.7
Antananarivo,MG,-18.8792,47.5079,2026-04-29T05:00:00+00:00,1,136.33,0.29,0.8,15.74,0.18,5.17,8.84,1.02
Antananarivo,MG,-18.8792,47.5079,2026-04-29T06:00:00+00:00,1,140.67,0.27,0.62,20.87,0.22,5.77,9.78,1.23
Antananarivo,MG,-18.8792,47.5079,2026-04-29T07:00:00+00:00,1,91.25,0.08,0.2,34.2,0.17,3.0,4.78,0.63
Antananarivo,MG,-18.8792,47.5079,2026-04-29T08:00:00+00:00,1,83.52,0.05,0.13,36.65,0.14,2.73,4.25,0.54
Antananarivo,MG,-18.8792,47.5079,2026-04-29T09:00:00+00:00,1,79.41,0.04,0.11,37.5,0.14,2.64,4.01,0.49
Antananarivo,MG,-18.8792,47.5079,2026-04-29T10:00:00+00:00,1,76.55,0.03,0.1,39.92,0.14,2.59,3.77,0.45
